act
agree
arrive
bring
call
close
come
enter
exit
fix
give
go
grab
hit
leave
lift
make
march
move
play
throw
take
want
have
load
unload
operated
executed
headed
organized
oversaw
planned
produced
programmed
administered
created
designed
developed
devised
founded
engineered
established
formalized
formed
formulated
implemented
launched
achieved
delivered
expedited
gained
improved
reorganized
replaced
revamped
directed
enabled
guided
hired
inspired
mentored
recruited
regulated
supervised
taught
trained
acquired
forged
navigated
negotiated
partnered
secured
analyzed
assembled
assessed
calculated
discovered
evaluated
examined
explored
forecasted
identified
interpreted
investigated
mapped
measured
qualified
quantified
surveyed
tested
tracked
briefed
composed
conveyed
convinced
corresponded
defined
documented
edited
illustrated
reviewed
authorized
blocked
dispatched
enforced
ensured
inspected
monitored
screened
verified
attained
completed
demonstrated
earned
exceeded
reached
succeeded
surpassed
targeted
activated
added
admitted
approximated
certified
commissioned
committed
consented
contracted
displayed
exercised
figured
guaranteed
indicated
involved
maintained
performed
prepared
realized
related
reserved
satisfied
served
smoothed
sought
specified
submitted
traced
transacted
transmitted
valued
issued
assisted
collaborated
contributed
cooperated
mediated
participated
aided
debugged
eased
elevated
enlarged
extended
extracted
fulfilled
invented
lightened
procured
rectified
reformed
reinforced
rejuvenated
relieved
remedied
repaired
retrieved
revived
settled
solved
restored
arranged
classified
collected
compiled
correlated
indexed
linked
processed
purchased
recorded
scheduled
allocated
allowed
appointed
approved
assigned
designated
employed
instructed
interviewed
accomplished
dedicated
increased
innovated
revised
suggested
accommodated
adapted
adjusted
altered
amended
balanced
grew
improvised
constructed
addressed
communicated
drafted
explained
presented
queried
reported
spoke
translated
compared
computed
concluded
confirmed
deciphered
determined
estimated
justified
prescribed
projected
questioned
recommended
researched
studied
pick
promoted
licensed
set
oriented
endorsed
led
minimized
multiplied
wrote
keep
lend
depart
send
open 
stay
received
put
